,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-07-22 01:29,,,,,,,,,,,,,,,,,,,,
2026-07-22 03:54,,,,,,,,,,,,,,,,,,,,
2026-07-22 08:20,,,,,,,,,,,,,,,,,,,,
2026-07-22 10:29,65.0,40.0,45.0,45.0,35.0,45.0,35.0,5.0,5.0,20.0,5.0,10.0,5.0,15.0,35.0,15.0,20.0,20.0,,
2026-07-22 11:59,60.0,60.0,45.0,60.0,40.0,40.0,50.0,15.0,15.0,30.0,25.0,15.0,10.0,15.0,30.0,35.0,25.0,10.0,,
2026-07-22 13:20,70.0,65.0,40.0,50.0,45.0,35.0,45.0,15.0,15.0,25.0,20.0,20.0,10.0,10.0,35.0,30.0,15.0,25.0,,
2026-07-22 14:36,70.0,60.0,45.0,50.0,45.0,35.0,40.0,15.0,10.0,25.0,20.0,15.0,10.0,15.0,30.0,20.0,5.0,35.0,,
2026-07-22 15:54,60.0,,45.0,75.0,50.0,25.0,45.0,15.0,5.0,40.0,15.0,10.0,5.0,10.0,40.0,20.0,10.0,15.0,,
2026-07-22 16:51,65.0,70.0,50.0,60.0,50.0,45.0,,20.0,5.0,20.0,20.0,,10.0,10.0,35.0,,10.0,20.0,,
2026-07-22 17:49,65.0,55.0,45.0,70.0,45.0,30.0,,15.0,15.0,25.0,20.0,5.0,15.0,15.0,30.0,35.0,5.0,15.0,,
2026-07-22 18:44,85.0,65.0,55.0,60.0,45.0,35.0,45.0,10.0,10.0,40.0,10.0,10.0,10.0,15.0,40.0,20.0,10.0,25.0,,
2026-07-22 19:41,70.0,80.0,40.0,65.0,40.0,30.0,60.0,20.0,15.0,30.0,15.0,10.0,15.0,15.0,40.0,30.0,20.0,25.0,,
2026-07-22 21:10,85.0,60.0,30.0,65.0,30.0,45.0,70.0,15.0,30.0,20.0,5.0,5.0,10.0,10.0,20.0,25.0,15.0,20.0,,
2026-07-22 22:24,115.0,40.0,20.0,30.0,25.0,35.0,40.0,5.0,10.0,15.0,5.0,5.0,5.0,15.0,20.0,5.0,5.0,5.0,,
