,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-07-22 01:29,,,,,,,,
2026-07-22 03:54,,,,,,,,
2026-07-22 08:20,,,,,,,,
2026-07-22 10:29,,,35.0,65.0,65.0,45.0,30.0,5.0
2026-07-22 11:59,70.0,,55.0,40.0,75.0,55.0,40.0,15.0
2026-07-22 13:20,55.0,,35.0,50.0,60.0,40.0,45.0,5.0
2026-07-22 14:36,65.0,,60.0,35.0,60.0,40.0,40.0,10.0
2026-07-22 15:54,50.0,,40.0,35.0,55.0,35.0,40.0,5.0
2026-07-22 16:51,55.0,,30.0,15.0,55.0,30.0,25.0,5.0
2026-07-22 17:49,35.0,,35.0,25.0,75.0,35.0,45.0,5.0
2026-07-22 18:44,50.0,,35.0,20.0,50.0,40.0,35.0,5.0
2026-07-22 19:41,45.0,,40.0,40.0,70.0,35.0,45.0,5.0
