,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-05-24 02:27,,,,,,,,,,
2026-05-24 05:05,,,,,,,,,,
2026-05-24 07:57,,,,,,,,,,
2026-05-24 09:19,80.0,105.0,55.0,10.0,5.0,5.0,15.0,65.0,,5.0
2026-05-24 10:44,55.0,80.0,40.0,35.0,20.0,20.0,15.0,50.0,5.0,25.0
2026-05-24 11:47,75.0,65.0,,55.0,15.0,25.0,15.0,55.0,5.0,20.0
2026-05-24 12:44,95.0,80.0,65.0,30.0,20.0,10.0,15.0,60.0,5.0,35.0
2026-05-24 13:41,80.0,70.0,60.0,20.0,5.0,25.0,25.0,55.0,10.0,10.0
2026-05-24 14:46,60.0,75.0,60.0,30.0,15.0,15.0,25.0,50.0,5.0,10.0
2026-05-24 15:52,75.0,75.0,,25.0,10.0,20.0,15.0,,10.0,5.0
