,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-05-24 02:27,,,,,
2026-05-24 05:05,,,,,
2026-05-24 07:57,5.0,55.0,10.0,,
2026-05-24 09:19,15.0,60.0,35.0,45.0,
2026-05-24 10:44,40.0,65.0,55.0,50.0,
2026-05-24 11:47,30.0,80.0,45.0,45.0,
2026-05-24 12:44,50.0,50.0,55.0,40.0,
2026-05-24 13:41,50.0,55.0,65.0,35.0,
2026-05-24 14:46,30.0,50.0,55.0,10.0,65.0
2026-05-24 15:52,25.0,45.0,30.0,5.0,55.0
2026-05-24 16:39,15.0,70.0,40.0,5.0,60.0
2026-05-24 17:36,10.0,55.0,45.0,5.0,70.0
2026-05-24 18:36,5.0,50.0,20.0,5.0,5.0
2026-05-24 19:39,,,,,
