,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-05-24 02:27,,,,,,,,,,,,,,,,,,,,
2026-05-24 05:05,,,,,,,,,,,,,,,,,,,,
2026-05-24 07:57,,,,,,,,,,,,,,,,,,,,
2026-05-24 09:19,60.0,45.0,30.0,15.0,45.0,60.0,35.0,5.0,5.0,,5.0,5.0,10.0,15.0,30.0,5.0,10.0,5.0,10.0,
2026-05-24 10:44,55.0,50.0,45.0,40.0,40.0,45.0,30.0,10.0,10.0,,20.0,15.0,20.0,10.0,30.0,15.0,20.0,10.0,10.0,
2026-05-24 11:47,55.0,45.0,30.0,40.0,40.0,40.0,50.0,15.0,15.0,,15.0,15.0,10.0,10.0,30.0,25.0,20.0,10.0,10.0,
2026-05-24 12:44,55.0,50.0,40.0,40.0,40.0,45.0,45.0,15.0,10.0,,10.0,15.0,10.0,5.0,30.0,30.0,15.0,15.0,10.0,
2026-05-24 13:41,60.0,50.0,45.0,50.0,60.0,45.0,35.0,15.0,15.0,20.0,15.0,20.0,5.0,10.0,35.0,30.0,15.0,5.0,10.0,
2026-05-24 14:46,45.0,45.0,35.0,45.0,40.0,45.0,30.0,10.0,10.0,30.0,10.0,10.0,10.0,10.0,25.0,25.0,10.0,10.0,10.0,
2026-05-24 15:52,50.0,50.0,45.0,50.0,50.0,45.0,25.0,5.0,5.0,35.0,10.0,5.0,5.0,10.0,40.0,15.0,10.0,5.0,10.0,
2026-05-24 16:39,50.0,50.0,20.0,40.0,45.0,40.0,40.0,10.0,15.0,35.0,10.0,5.0,5.0,10.0,35.0,15.0,10.0,15.0,10.0,
2026-05-24 17:36,45.0,45.0,50.0,,35.0,55.0,30.0,10.0,10.0,25.0,5.0,5.0,5.0,10.0,,15.0,20.0,10.0,10.0,
