day_of_week,hour_sin,hour_cos,ride_name,wait_time
4,-0.7071067811865471,-0.7071067811865479,TRON Lightcycle / Run,90.0
4,-0.7071067811865471,-0.7071067811865479,TRON Lightcycle / Run,90.0
4,-0.7071067811865471,-0.7071067811865479,TRON Lightcycle / Run,90.0
4,-0.7071067811865471,-0.7071067811865479,TRON Lightcycle / Run,90.0
4,-0.7071067811865471,-0.7071067811865479,TRON Lightcycle / Run,90.0
4,-0.7071067811865471,-0.7071067811865479,TRON Lightcycle / Run,80.0
4,-0.8660254037844385,-0.5000000000000004,TRON Lightcycle / Run,110.0
4,-0.9659258262890683,-0.25881904510252063,TRON Lightcycle / Run,95.0
4,-0.9659258262890683,-0.25881904510252063,TRON Lightcycle / Run,90.0
4,-0.9659258262890683,-0.25881904510252063,TRON Lightcycle / Run,90.0
4,-1.0,-1.8369701987210297e-16,TRON Lightcycle / Run,105.0
4,-1.0,-1.8369701987210297e-16,TRON Lightcycle / Run,110.0
4,-0.9659258262890684,0.2588190451025203,TRON Lightcycle / Run,110.0
4,-0.9659258262890684,0.2588190451025203,TRON Lightcycle / Run,115.0
4,-0.9659258262890684,0.2588190451025203,TRON Lightcycle / Run,105.0
4,-0.7071067811865477,0.7071067811865474,TRON Lightcycle / Run,125.0
5,0.7071067811865476,-0.7071067811865475,TRON Lightcycle / Run,70.0
5,0.49999999999999994,-0.8660254037844387,TRON Lightcycle / Run,90.0
5,0.49999999999999994,-0.8660254037844387,TRON Lightcycle / Run,75.0
5,0.49999999999999994,-0.8660254037844387,TRON Lightcycle / Run,75.0
5,0.258819045102521,-0.9659258262890682,TRON Lightcycle / Run,70.0
5,0.258819045102521,-0.9659258262890682,TRON Lightcycle / Run,70.0
5,1.2246467991473532e-16,-1.0,TRON Lightcycle / Run,70.0
5,1.2246467991473532e-16,-1.0,TRON Lightcycle / Run,50.0
5,-0.2588190451025208,-0.9659258262890683,TRON Lightcycle / Run,65.0
5,-0.2588190451025208,-0.9659258262890683,TRON Lightcycle / Run,70.0
5,-0.2588190451025208,-0.9659258262890683,TRON Lightcycle / Run,70.0
5,-0.4999999999999997,-0.8660254037844388,TRON Lightcycle / Run,65.0
5,-0.4999999999999997,-0.8660254037844388,TRON Lightcycle / Run,75.0
5,-0.7071067811865471,-0.7071067811865479,TRON Lightcycle / Run,70.0
