,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-08-04 01:22,,,,,,,,,,,,,,,,,,,,
2026-08-04 03:58,,,,,,,,,,,,,,,,,,,,
2026-08-04 08:52,,65.0,,,55.0,,65.0,5.0,5.0,,5.0,,10.0,,35.0,,10.0,10.0,,
2026-08-04 11:11,75.0,55.0,45.0,35.0,45.0,35.0,115.0,20.0,25.0,,20.0,20.0,20.0,15.0,35.0,35.0,15.0,20.0,,
2026-08-04 13:01,60.0,75.0,40.0,60.0,45.0,60.0,110.0,30.0,30.0,40.0,20.0,20.0,15.0,15.0,35.0,40.0,15.0,15.0,,
2026-08-04 14:41,80.0,60.0,45.0,45.0,40.0,35.0,85.0,15.0,15.0,45.0,15.0,10.0,15.0,10.0,30.0,30.0,15.0,30.0,,
2026-08-04 16:11,95.0,,,,70.0,,110.0,,,45.0,35.0,,15.0,15.0,45.0,35.0,,30.0,,
2026-08-04 17:34,90.0,70.0,45.0,70.0,50.0,60.0,75.0,25.0,10.0,40.0,25.0,20.0,15.0,15.0,40.0,20.0,25.0,30.0,,
2026-08-04 18:38,80.0,85.0,35.0,60.0,45.0,50.0,85.0,25.0,25.0,45.0,15.0,20.0,15.0,10.0,30.0,20.0,25.0,15.0,,
2026-08-04 19:38,105.0,75.0,50.0,60.0,45.0,55.0,115.0,30.0,15.0,25.0,5.0,25.0,5.0,10.0,30.0,20.0,25.0,20.0,,
2026-08-04 20:59,120.0,,,,45.0,,95.0,,,25.0,5.0,,10.0,10.0,40.0,10.0,,5.0,,
2026-08-04 22:05,85.0,25.0,5.0,15.0,30.0,5.0,75.0,5.0,5.0,13.0,5.0,5.0,10.0,10.0,20.0,5.0,5.0,5.0,,
