,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-08-04 01:22,,,,,,,,
2026-08-04 03:58,,,,,,,,
2026-08-04 08:52,,,13.0,20.0,70.0,,55.0,5.0
2026-08-04 11:11,,,50.0,60.0,75.0,55.0,50.0,20.0
2026-08-04 13:01,90.0,,35.0,40.0,75.0,,40.0,20.0
2026-08-04 14:41,70.0,,35.0,40.0,65.0,45.0,50.0,10.0
2026-08-04 16:11,65.0,,30.0,50.0,,60.0,35.0,5.0
2026-08-04 17:34,45.0,,35.0,30.0,65.0,50.0,45.0,5.0
2026-08-04 18:38,50.0,,50.0,20.0,80.0,45.0,,5.0
2026-08-04 19:38,45.0,,45.0,50.0,80.0,55.0,45.0,5.0
