,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-08-04 01:22,,,,,,,,,,
2026-08-04 03:58,,,,,,,,,,
2026-08-04 08:52,,70.0,60.0,5.0,,5.0,15.0,40.0,,5.0
2026-08-04 11:11,75.0,70.0,50.0,50.0,35.0,30.0,15.0,45.0,5.0,15.0
2026-08-04 13:01,95.0,80.0,45.0,35.0,20.0,15.0,20.0,55.0,15.0,15.0
2026-08-04 14:41,70.0,80.0,65.0,40.0,5.0,15.0,15.0,60.0,5.0,20.0
2026-08-04 16:11,,105.0,85.0,55.0,15.0,15.0,15.0,75.0,15.0,5.0
2026-08-04 17:34,85.0,70.0,50.0,40.0,5.0,5.0,15.0,55.0,10.0,5.0
2026-08-04 18:38,110.0,90.0,55.0,15.0,5.0,,20.0,60.0,10.0,5.0
2026-08-04 19:38,,85.0,55.0,25.0,5.0,10.0,15.0,,5.0,10.0
2026-08-04 20:59,,110.0,30.0,15.0,5.0,5.0,15.0,5.0,5.0,5.0
