,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-07-21 01:31,,,,,,,,,,
2026-07-21 03:55,,,,,,,,,,
2026-07-21 08:18,,,,,,,,,,
2026-07-21 10:26,90.0,75.0,30.0,45.0,15.0,15.0,15.0,40.0,5.0,5.0
2026-07-21 11:58,85.0,70.0,50.0,25.0,15.0,15.0,30.0,45.0,5.0,25.0
2026-07-21 13:18,,60.0,45.0,45.0,20.0,20.0,25.0,55.0,10.0,5.0
2026-07-21 14:42,60.0,75.0,60.0,45.0,10.0,10.0,15.0,55.0,10.0,
2026-07-21 16:05,,65.0,50.0,40.0,15.0,5.0,15.0,45.0,5.0,20.0
2026-07-21 17:21,80.0,75.0,45.0,55.0,10.0,,20.0,55.0,5.0,5.0
2026-07-21 18:14,80.0,65.0,50.0,40.0,5.0,,15.0,60.0,5.0,5.0
2026-07-21 19:11,70.0,120.0,45.0,55.0,5.0,5.0,15.0,,10.0,10.0
