,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster Starring Aerosmith,The Twilight Zone Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-03-25 00:19,,,,,,,,
2026-03-25 01:40,,,,,,,,
2026-03-25 02:43,,,,,,,,
2026-03-25 03:41,,,,,,,,
2026-03-25 07:34,,,,,,,,
2026-03-25 08:06,,,,,,,,
2026-03-25 09:46,,,55.0,60.0,100.0,60.0,35.0,15.0
2026-03-25 10:45,,,40.0,60.0,110.0,65.0,50.0,25.0
2026-03-25 11:49,,,65.0,55.0,,55.0,55.0,35.0
2026-03-25 12:48,145.0,,40.0,65.0,120.0,50.0,45.0,20.0
2026-03-25 13:44,150.0,,40.0,85.0,80.0,55.0,40.0,5.0
2026-03-25 14:36,150.0,,35.0,115.0,100.0,60.0,45.0,15.0
2026-03-25 15:29,170.0,,50.0,80.0,90.0,50.0,35.0,5.0
2026-03-25 16:01,170.0,,30.0,60.0,75.0,35.0,55.0,5.0
2026-03-25 16:48,140.0,,40.0,40.0,80.0,40.0,35.0,5.0
2026-03-25 17:23,140.0,,25.0,45.0,80.0,45.0,40.0,5.0
2026-03-25 17:57,125.0,,45.0,50.0,60.0,60.0,40.0,5.0
2026-03-25 18:30,125.0,,45.0,75.0,65.0,55.0,40.0,5.0
2026-03-25 19:03,105.0,,35.0,45.0,75.0,20.0,35.0,5.0
