,Morning (05:00-10:00),Late Morning (10:00-12:00),Noon (12:00-14:00),Afternoon (14:00-16:00),Late Afternoon (16:00-18:00),Evening (18:00-20:00),Night (20:00-24:00)
Haunted Mansion,	15,	20,	30,	30,	30,,
The Barnstormer,	5,	15,	15,	20,	20,,
Tomorrowland Speedway,	15,	25,	20,	10,	10,,
Peter Pan's Flight,,	45,	55,	50,	45,,
Under the Sea - Journey of The Little Mermaid,	5,	5,	25,	30,	25,,
The Many Adventures of Winnie the Pooh,	40,	30,	45,	45,	50,,
Jungle Cruise,	15,	35,	40,	40,	35,,
TRON Lightcycle / Run,	70,	75,	65,	70,	75,,
The Magic Carpets of Aladdin,	5,	15,	15,	10,	10,,
Tiana's Bayou Adventure,	10,	20,	35,	50,	50,,
Mad Tea Party,	5,	15,	15,	10,	10,,
Seven Dwarfs Mine Train,	40,	60,	60,	65,	75,,
Pirates of the Caribbean,	5,	15,	20,	25,	25,,
Space Mountain,	30,	50,	50,	45,,,
Mickey's PhilharMagic,	15,	15,	15,	15,	15,,
Dumbo the Flying Elephant,	5,	15,	20,	20,	10,,
Monsters Inc. Laugh Floor,	10,	10,	10,	10,	10,,
