,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-05-28 02:40,,,,,,,,,,
2026-05-28 06:41,,,,,,,,,,
2026-05-28 10:28,65.0,90.0,40.0,40.0,30.0,25.0,15.0,55.0,5.0,20.0
2026-05-28 13:48,100.0,90.0,55.0,45.0,20.0,25.0,15.0,55.0,15.0,15.0
2026-05-28 15:56,70.0,85.0,65.0,65.0,10.0,15.0,15.0,,15.0,20.0
2026-05-28 17:51,80.0,110.0,75.0,65.0,10.0,5.0,15.0,70.0,10.0,5.0
