,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-06-13 03:02,,,,,,,,
2026-06-13 08:19,,,,,,,,
2026-06-13 10:31,50.0,,30.0,75.0,60.0,,25.0,10.0
2026-06-13 11:59,55.0,,40.0,60.0,55.0,50.0,50.0,5.0
2026-06-13 13:22,40.0,,20.0,45.0,55.0,35.0,45.0,5.0
2026-06-13 14:49,40.0,,30.0,65.0,60.0,50.0,30.0,5.0
2026-06-13 16:08,40.0,,25.0,15.0,50.0,40.0,,5.0
2026-06-13 17:35,30.0,,30.0,40.0,50.0,35.0,45.0,5.0
2026-06-13 18:41,30.0,,30.0,20.0,60.0,40.0,45.0,5.0
2026-06-13 19:45,30.0,,25.0,15.0,65.0,40.0,45.0,5.0
2026-06-13 22:01,,,,,,,,
2026-06-13 23:37,,,,,,,,
