,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-06-13 03:02,,,,,,,,,,
2026-06-13 08:19,,,,,,,,,,
2026-06-13 10:31,,75.0,30.0,35.0,20.0,30.0,15.0,45.0,5.0,20.0
2026-06-13 11:59,75.0,75.0,45.0,35.0,15.0,25.0,15.0,45.0,5.0,30.0
2026-06-13 13:22,90.0,85.0,45.0,35.0,10.0,15.0,15.0,45.0,5.0,10.0
2026-06-13 14:49,65.0,75.0,45.0,40.0,15.0,20.0,15.0,55.0,5.0,5.0
2026-06-13 16:08,75.0,65.0,45.0,40.0,10.0,10.0,15.0,50.0,10.0,5.0
2026-06-13 17:35,60.0,85.0,35.0,40.0,5.0,20.0,15.0,55.0,10.0,5.0
2026-06-13 18:41,60.0,75.0,45.0,35.0,5.0,15.0,15.0,45.0,5.0,5.0
2026-06-13 19:45,75.0,65.0,70.0,35.0,5.0,5.0,15.0,45.0,,5.0
2026-06-13 22:01,,,,,,,,,,
