,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-07-08 01:33,,,,,
2026-07-08 03:55,,,,,
2026-07-08 08:13,5.0,120.0,10.0,10.0,
2026-07-08 10:39,30.0,105.0,40.0,30.0,20.0
2026-07-08 12:18,20.0,55.0,35.0,25.0,50.0
2026-07-08 13:53,30.0,55.0,40.0,5.0,20.0
2026-07-08 14:58,10.0,40.0,40.0,10.0,30.0
2026-07-08 16:18,25.0,30.0,30.0,5.0,45.0
2026-07-08 17:33,10.0,35.0,35.0,5.0,15.0
2026-07-08 18:35,,,,,
2026-07-08 19:40,,,,,
2026-07-08 21:13,,,,,
2026-07-08 22:35,,,,,
