,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-07-11 01:22,,,,,,,,
2026-07-11 03:21,,,,,,,,
2026-07-11 07:42,,,,,,,,
2026-07-11 08:39,,,13.0,20.0,,5.0,5.0,5.0
2026-07-11 10:07,,,35.0,55.0,85.0,50.0,35.0,5.0
2026-07-11 11:09,,,40.0,65.0,90.0,40.0,45.0,5.0
2026-07-11 12:07,65.0,,35.0,40.0,60.0,40.0,35.0,5.0
2026-07-11 13:10,75.0,,40.0,65.0,65.0,35.0,35.0,5.0
2026-07-11 14:04,55.0,,60.0,45.0,,40.0,35.0,5.0
2026-07-11 15:18,,,35.0,40.0,55.0,35.0,35.0,10.0
