,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-07-11 01:22,,,,,
2026-07-11 03:21,,,,,
2026-07-11 07:42,5.0,40.0,10.0,,
2026-07-11 08:39,5.0,85.0,45.0,20.0,
2026-07-11 10:07,,60.0,60.0,60.0,40.0
2026-07-11 11:09,35.0,105.0,50.0,60.0,30.0
2026-07-11 12:07,50.0,50.0,80.0,80.0,45.0
2026-07-11 13:10,55.0,55.0,45.0,35.0,50.0
2026-07-11 14:04,,80.0,60.0,20.0,50.0
2026-07-11 15:18,45.0,65.0,55.0,10.0,55.0
2026-07-11 16:11,50.0,85.0,40.0,10.0,50.0
2026-07-11 17:02,50.0,60.0,35.0,10.0,35.0
2026-07-11 17:57,30.0,35.0,15.0,5.0,30.0
2026-07-11 18:42,,,,,
2026-07-11 19:35,,,,,
2026-07-11 21:08,,,,,
