,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-07-13 01:51,,,,,,,,
2026-07-13 04:37,,,,,,,,
2026-07-13 09:11,,,20.0,20.0,90.0,45.0,25.0,5.0
2026-07-13 11:50,65.0,,50.0,25.0,90.0,50.0,50.0,25.0
2026-07-13 13:44,55.0,,20.0,45.0,80.0,40.0,30.0,10.0
2026-07-13 15:04,45.0,,35.0,25.0,65.0,35.0,40.0,10.0
2026-07-13 16:21,80.0,,30.0,40.0,,60.0,50.0,10.0
2026-07-13 17:15,,,20.0,15.0,,40.0,35.0,5.0
2026-07-13 18:11,,,35.0,35.0,,40.0,45.0,5.0
2026-07-13 19:10,,,45.0,45.0,95.0,35.0,40.0,5.0
2026-07-13 20:04,,,45.0,15.0,85.0,30.0,40.0,10.0
2026-07-13 22:05,,,,,,,,
