,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster Starring Aerosmith,The Twilight Zone Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-03-31 00:42,,,,,,,,
2026-03-31 02:06,,,,,,,,
2026-03-31 03:43,,,,,,,,
2026-03-31 07:40,,,,,,,,
2026-03-31 08:38,70.0,,13.0,45.0,120.0,35.0,55.0,5.0
2026-03-31 10:11,135.0,,65.0,110.0,120.0,50.0,100.0,45.0
2026-03-31 11:21,135.0,,75.0,145.0,120.0,80.0,,60.0
2026-03-31 12:31,85.0,,55.0,140.0,110.0,65.0,70.0,25.0
2026-03-31 13:33,55.0,,65.0,120.0,110.0,70.0,50.0,25.0
2026-03-31 14:32,75.0,,40.0,120.0,95.0,65.0,70.0,35.0
2026-03-31 15:34,95.0,,60.0,125.0,90.0,40.0,75.0,25.0
