,Expedition Everest - Legend of the Forbidden Mountain,Avatar Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-03-31 00:42,,,,,
2026-03-31 02:06,,,,,
2026-03-31 03:43,,,,,
2026-03-31 07:40,5.0,55.0,10.0,,
2026-03-31 08:38,15.0,145.0,30.0,35.0,
2026-03-31 10:11,45.0,140.0,65.0,70.0,35.0
2026-03-31 11:21,45.0,150.0,65.0,60.0,40.0
2026-03-31 12:31,45.0,90.0,70.0,70.0,45.0
2026-03-31 13:33,50.0,105.0,45.0,80.0,95.0
2026-03-31 14:32,35.0,70.0,75.0,45.0,105.0
2026-03-31 15:34,40.0,75.0,40.0,20.0,40.0
2026-03-31 16:07,30.0,80.0,40.0,15.0,40.0
2026-03-31 16:55,40.0,105.0,65.0,10.0,80.0
2026-03-31 17:29,25.0,80.0,65.0,10.0,45.0
