,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-08-26 00:20,,,,,,,,,,
2026-08-26 01:00,,,,,,,,,,
2026-08-26 01:40,,,,,,,,,,
2026-08-26 02:04,,,,,,,,,,
2026-08-26 03:04,,,,,,,,,,
2026-08-26 07:18,,,,,,,,,,
2026-08-26 07:48,,,,,,,,,,
2026-08-26 08:17,,,,,,,,,,
2026-08-26 09:19,50.0,75.0,,5.0,,5.0,15.0,30.0,5.0,5.0
2026-08-26 10:06,45.0,45.0,,15.0,5.0,15.0,15.0,35.0,5.0,5.0
2026-08-26 10:57,85.0,60.0,25.0,15.0,10.0,20.0,15.0,35.0,5.0,5.0
2026-08-26 12:12,40.0,90.0,40.0,15.0,5.0,5.0,20.0,45.0,5.0,20.0
2026-08-26 12:58,55.0,50.0,,35.0,5.0,10.0,15.0,,5.0,5.0
2026-08-26 14:56,55.0,60.0,50.0,10.0,5.0,5.0,15.0,60.0,5.0,5.0
2026-08-26 17:28,,80.0,50.0,15.0,5.0,5.0,15.0,,10.0,5.0
