,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-08-26 00:20,,,,,
2026-08-26 01:00,,,,,
2026-08-26 01:40,,,,,
2026-08-26 02:04,,,,,
2026-08-26 03:04,,,,,
2026-08-26 07:18,,,,,
2026-08-26 07:48,5.0,45.0,5.0,,
2026-08-26 08:17,5.0,35.0,10.0,25.0,
2026-08-26 09:19,10.0,35.0,30.0,20.0,
2026-08-26 10:06,10.0,40.0,35.0,40.0,
2026-08-26 10:57,25.0,35.0,50.0,40.0,
2026-08-26 12:12,20.0,45.0,45.0,35.0,
2026-08-26 12:58,40.0,35.0,40.0,20.0,
2026-08-26 14:56,15.0,15.0,40.0,10.0,50.0
2026-08-26 17:28,,35.0,45.0,15.0,
2026-08-26 20:57,,,,,
