,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-06-05 03:50,,,,,,,,,,
2026-06-05 09:46,85.0,60.0,30.0,40.0,5.0,15.0,15.0,45.0,5.0,5.0
2026-06-05 12:18,85.0,75.0,45.0,30.0,15.0,25.0,15.0,40.0,5.0,30.0
2026-06-05 14:15,55.0,80.0,50.0,90.0,10.0,10.0,15.0,,15.0,5.0
2026-06-05 16:13,65.0,90.0,50.0,60.0,15.0,20.0,15.0,50.0,5.0,5.0
2026-06-05 17:46,75.0,80.0,50.0,65.0,5.0,15.0,15.0,90.0,5.0,5.0
2026-06-05 18:48,,90.0,55.0,40.0,5.0,5.0,15.0,40.0,5.0,15.0
2026-06-05 19:52,,90.0,45.0,85.0,5.0,5.0,15.0,60.0,5.0,5.0
