,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-06-05 03:50,,,,,,,,
2026-06-05 09:46,,,45.0,30.0,80.0,40.0,40.0,5.0
2026-06-05 12:18,80.0,,40.0,55.0,90.0,50.0,40.0,20.0
2026-06-05 14:15,50.0,,35.0,35.0,80.0,60.0,45.0,10.0
2026-06-05 16:13,65.0,,35.0,20.0,75.0,45.0,45.0,5.0
2026-06-05 17:46,60.0,,50.0,30.0,70.0,,45.0,5.0
2026-06-05 18:48,55.0,,35.0,35.0,70.0,45.0,55.0,5.0
2026-06-05 19:52,40.0,,35.0,30.0,65.0,55.0,55.0,5.0
2026-06-05 21:47,35.0,,45.0,10.0,50.0,25.0,25.0,5.0
2026-06-05 22:47,,,,,,,,
