,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-03-24 00:05,,,,,,,,,,
2026-03-24 01:36,,,,,,,,,,
2026-03-24 02:42,,,,,,,,,,
2026-03-24 03:41,,,,,,,,,,
2026-03-24 07:37,,,,,,,,,,
2026-03-24 08:08,,,,,,,,,,
2026-03-24 09:48,65.0,80.0,,15.0,5.0,15.0,15.0,60.0,5.0,10.0
2026-03-24 10:45,90.0,65.0,25.0,40.0,30.0,45.0,15.0,65.0,5.0,30.0
2026-03-24 11:47,90.0,70.0,45.0,95.0,25.0,,15.0,60.0,5.0,50.0
2026-03-24 12:43,70.0,65.0,50.0,90.0,30.0,,15.0,55.0,10.0,40.0
2026-03-24 13:38,50.0,70.0,55.0,80.0,10.0,5.0,15.0,60.0,15.0,5.0
2026-03-24 14:36,70.0,60.0,70.0,75.0,15.0,15.0,15.0,65.0,15.0,15.0
2026-03-24 15:36,80.0,70.0,75.0,55.0,15.0,15.0,15.0,50.0,15.0,30.0
2026-03-24 16:05,75.0,70.0,95.0,55.0,5.0,20.0,15.0,60.0,15.0,30.0
2026-03-24 16:53,80.0,65.0,105.0,50.0,20.0,20.0,15.0,60.0,15.0,5.0
