,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-08-25 00:05,,,,,
2026-08-25 00:49,,,,,
2026-08-25 01:19,,,,,
2026-08-25 01:52,,,,,
2026-08-25 02:22,,,,,
2026-08-25 03:14,,,,,
2026-08-25 07:16,,,,,
2026-08-25 07:45,5.0,30.0,5.0,,
2026-08-25 08:03,5.0,30.0,5.0,15.0,
2026-08-25 09:03,5.0,40.0,25.0,15.0,5.0
2026-08-25 09:56,20.0,45.0,45.0,55.0,5.0
2026-08-25 10:34,20.0,50.0,40.0,40.0,5.0
2026-08-25 11:24,25.0,45.0,45.0,25.0,45.0
2026-08-25 12:04,40.0,50.0,45.0,15.0,
2026-08-25 12:48,30.0,40.0,40.0,10.0,40.0
2026-08-25 13:16,15.0,30.0,35.0,10.0,50.0
2026-08-25 13:46,25.0,35.0,35.0,5.0,50.0
2026-08-25 14:13,,35.0,40.0,5.0,50.0
2026-08-25 14:56,15.0,15.0,30.0,10.0,45.0
2026-08-25 15:23,25.0,20.0,30.0,5.0,30.0
2026-08-25 15:50,20.0,20.0,,5.0,35.0
2026-08-25 16:10,10.0,20.0,35.0,5.0,40.0
2026-08-25 16:42,10.0,15.0,25.0,5.0,10.0
2026-08-25 17:01,10.0,15.0,10.0,5.0,15.0
2026-08-25 17:34,15.0,20.0,25.0,10.0,20.0
2026-08-25 17:55,10.0,20.0,5.0,5.0,15.0
2026-08-25 18:14,,,,,
2026-08-25 18:45,,,,,
2026-08-25 19:03,,,,,
2026-08-25 19:31,,,,,
2026-08-25 19:50,,,,,
2026-08-25 20:24,,,,,
2026-08-25 21:02,,,,,
2026-08-25 22:36,,,,,
2026-08-25 23:36,,,,,
