,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-05-08 01:17,,,,,
2026-05-08 03:00,,,,,
2026-05-08 08:04,5.0,75.0,10.0,10.0,
2026-05-08 10:10,25.0,105.0,45.0,50.0,20.0
2026-05-08 11:49,,120.0,55.0,75.0,45.0
2026-05-08 12:57,45.0,70.0,35.0,30.0,35.0
2026-05-08 14:06,40.0,55.0,45.0,10.0,55.0
2026-05-08 15:42,40.0,45.0,35.0,10.0,30.0
2026-05-08 16:38,25.0,40.0,55.0,10.0,40.0
2026-05-08 17:37,15.0,40.0,30.0,10.0,50.0
2026-05-08 18:33,10.0,25.0,25.0,10.0,
