,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-05-08 01:17,,,,,,,,
2026-05-08 03:00,,,,,,,,
2026-05-08 08:04,,,,,,,,
2026-05-08 10:10,50.0,,35.0,30.0,60.0,45.0,40.0,5.0
2026-05-08 11:49,45.0,,40.0,40.0,55.0,50.0,70.0,5.0
2026-05-08 12:57,50.0,,35.0,55.0,70.0,,40.0,5.0
2026-05-08 14:06,55.0,,40.0,25.0,60.0,50.0,35.0,5.0
2026-05-08 15:42,55.0,,65.0,25.0,50.0,35.0,40.0,5.0
2026-05-08 16:38,45.0,,35.0,20.0,45.0,45.0,25.0,5.0
2026-05-08 17:37,,,35.0,25.0,65.0,50.0,40.0,5.0
2026-05-08 18:33,60.0,,40.0,25.0,45.0,40.0,35.0,5.0
2026-05-08 19:30,60.0,,35.0,35.0,65.0,50.0,40.0,5.0
