,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-07-16 01:20,,,,,,,,
2026-07-16 03:33,,,,,,,,
2026-07-16 08:13,,,,,,,,
2026-07-16 10:21,70.0,,45.0,45.0,55.0,60.0,25.0,20.0
2026-07-16 11:50,60.0,,50.0,45.0,90.0,55.0,45.0,15.0
2026-07-16 12:55,60.0,,35.0,45.0,75.0,50.0,40.0,10.0
2026-07-16 13:58,70.0,,50.0,30.0,80.0,45.0,90.0,10.0
2026-07-16 15:06,45.0,,55.0,50.0,120.0,50.0,35.0,5.0
2026-07-16 16:08,50.0,,50.0,30.0,60.0,40.0,80.0,5.0
2026-07-16 17:12,60.0,,45.0,30.0,60.0,40.0,,5.0
