,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-07-07 02:31,,,,,,,,
2026-07-07 06:07,,,,,,,,
2026-07-07 09:10,,,20.0,25.0,60.0,30.0,90.0,5.0
2026-07-07 11:49,55.0,,50.0,50.0,55.0,50.0,45.0,5.0
2026-07-07 13:46,30.0,,35.0,60.0,70.0,40.0,50.0,5.0
2026-07-07 15:25,80.0,,40.0,25.0,,40.0,70.0,5.0
2026-07-07 17:01,30.0,,35.0,35.0,,40.0,40.0,5.0
2026-07-07 18:15,60.0,,45.0,15.0,85.0,40.0,30.0,5.0
2026-07-07 19:14,50.0,,40.0,25.0,80.0,45.0,45.0,5.0
