,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-07-07 02:31,,,,,,,,,,,,,,,,,,,,
2026-07-07 06:07,,,,,,,,,,,,,,,,,,,,
2026-07-07 09:10,95.0,50.0,20.0,10.0,35.0,45.0,,10.0,10.0,,5.0,5.0,5.0,10.0,25.0,,20.0,,,
2026-07-07 11:49,55.0,60.0,30.0,45.0,45.0,35.0,50.0,20.0,10.0,30.0,25.0,20.0,10.0,15.0,30.0,35.0,15.0,20.0,,
2026-07-07 13:46,60.0,55.0,25.0,60.0,55.0,25.0,40.0,15.0,5.0,30.0,,5.0,15.0,15.0,,20.0,10.0,25.0,,
2026-07-07 15:25,55.0,45.0,25.0,50.0,40.0,30.0,35.0,15.0,10.0,15.0,20.0,5.0,5.0,15.0,25.0,10.0,30.0,30.0,,
2026-07-07 17:01,65.0,50.0,45.0,60.0,40.0,30.0,50.0,10.0,5.0,20.0,10.0,5.0,10.0,10.0,30.0,10.0,15.0,25.0,,
2026-07-07 18:15,65.0,50.0,35.0,55.0,40.0,25.0,30.0,20.0,5.0,20.0,15.0,5.0,5.0,10.0,35.0,25.0,15.0,25.0,,
2026-07-07 19:14,60.0,50.0,40.0,45.0,35.0,30.0,35.0,20.0,5.0,25.0,5.0,5.0,5.0,10.0,30.0,5.0,20.0,20.0,,
2026-07-07 20:11,95.0,45.0,35.0,40.0,45.0,35.0,40.0,15.0,15.0,25.0,5.0,10.0,20.0,15.0,30.0,20.0,15.0,20.0,,
