,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-08-08 00:16,,,,,,,,,,
2026-08-08 01:10,,,,,,,,,,
2026-08-08 01:55,,,,,,,,,,
2026-08-08 02:44,,,,,,,,,,
2026-08-08 03:35,,,,,,,,,,
2026-08-08 07:19,,,,,,,,,,
2026-08-08 07:47,,,,,,,,,,
2026-08-08 08:15,,,,,,,,,,
2026-08-08 09:12,,105.0,15.0,5.0,5.0,5.0,15.0,35.0,5.0,5.0
2026-08-08 09:55,65.0,70.0,30.0,10.0,5.0,15.0,15.0,30.0,5.0,5.0
2026-08-08 10:21,80.0,80.0,40.0,15.0,5.0,15.0,15.0,40.0,5.0,5.0
2026-08-08 10:53,95.0,70.0,,20.0,15.0,20.0,15.0,40.0,,5.0
2026-08-08 11:14,95.0,70.0,,40.0,20.0,20.0,15.0,50.0,,20.0
2026-08-08 11:46,95.0,75.0,40.0,30.0,20.0,,15.0,65.0,5.0,20.0
2026-08-08 12:04,90.0,80.0,50.0,30.0,15.0,,15.0,65.0,10.0,20.0
2026-08-08 12:45,60.0,80.0,45.0,50.0,5.0,,15.0,45.0,10.0,20.0
2026-08-08 13:13,50.0,70.0,40.0,35.0,10.0,10.0,15.0,70.0,10.0,5.0
2026-08-08 13:45,90.0,95.0,45.0,25.0,10.0,15.0,15.0,65.0,10.0,
2026-08-08 14:04,90.0,75.0,55.0,50.0,5.0,15.0,15.0,55.0,10.0,10.0
2026-08-08 14:51,60.0,75.0,50.0,30.0,5.0,15.0,15.0,55.0,15.0,5.0
2026-08-08 15:18,75.0,75.0,50.0,30.0,5.0,15.0,15.0,50.0,15.0,5.0
2026-08-08 15:46,75.0,75.0,50.0,25.0,5.0,10.0,15.0,50.0,5.0,5.0
2026-08-08 16:03,75.0,90.0,50.0,25.0,5.0,15.0,15.0,50.0,5.0,5.0
2026-08-08 16:40,70.0,80.0,50.0,30.0,5.0,20.0,15.0,50.0,,5.0
2026-08-08 17:03,70.0,65.0,45.0,35.0,5.0,10.0,15.0,45.0,10.0,5.0
2026-08-08 17:38,70.0,80.0,,30.0,5.0,5.0,25.0,55.0,5.0,5.0
2026-08-08 17:59,70.0,80.0,,45.0,5.0,10.0,15.0,55.0,5.0,5.0
2026-08-08 18:29,70.0,120.0,25.0,30.0,5.0,10.0,15.0,65.0,5.0,5.0
2026-08-08 18:58,60.0,105.0,75.0,20.0,5.0,5.0,15.0,65.0,5.0,5.0
2026-08-08 19:25,,85.0,75.0,20.0,5.0,,15.0,50.0,5.0,5.0
2026-08-08 19:50,,115.0,50.0,25.0,5.0,5.0,15.0,50.0,10.0,5.0
2026-08-08 20:36,,80.0,20.0,10.0,5.0,5.0,15.0,35.0,0.0,5.0
2026-08-08 21:20,,,,,,,,,,
2026-08-08 23:09,,,,,,,,,,
