,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-08-08 00:16,,,,,,,,
2026-08-08 01:10,,,,,,,,
2026-08-08 01:55,,,,,,,,
2026-08-08 02:44,,,,,,,,
2026-08-08 03:35,,,,,,,,
2026-08-08 07:19,,,,,,,,
2026-08-08 07:47,,,,,,,,
2026-08-08 08:15,,,,,,,,
2026-08-08 09:12,,,20.0,25.0,70.0,50.0,25.0,5.0
2026-08-08 09:55,,,55.0,30.0,55.0,40.0,45.0,5.0
2026-08-08 10:21,,,45.0,55.0,75.0,50.0,40.0,15.0
2026-08-08 10:53,40.0,,40.0,40.0,65.0,55.0,40.0,5.0
2026-08-08 11:14,85.0,,35.0,40.0,85.0,55.0,40.0,5.0
2026-08-08 11:46,75.0,,60.0,30.0,,50.0,75.0,5.0
2026-08-08 12:04,70.0,,35.0,40.0,,55.0,50.0,10.0
2026-08-08 12:45,70.0,,60.0,45.0,60.0,40.0,45.0,10.0
2026-08-08 13:13,70.0,,85.0,50.0,85.0,40.0,50.0,10.0
2026-08-08 13:45,70.0,,85.0,35.0,80.0,45.0,35.0,5.0
2026-08-08 14:04,70.0,,,30.0,75.0,,45.0,15.0
2026-08-08 14:51,60.0,,40.0,40.0,60.0,,45.0,5.0
2026-08-08 15:18,70.0,,35.0,30.0,70.0,40.0,35.0,5.0
2026-08-08 15:46,50.0,,50.0,25.0,55.0,40.0,35.0,5.0
2026-08-08 16:03,55.0,,35.0,20.0,65.0,35.0,55.0,5.0
2026-08-08 16:40,60.0,,40.0,15.0,65.0,45.0,35.0,5.0
2026-08-08 17:03,50.0,,40.0,25.0,70.0,45.0,35.0,5.0
2026-08-08 17:38,50.0,,55.0,20.0,75.0,40.0,40.0,5.0
2026-08-08 17:59,40.0,,45.0,15.0,85.0,40.0,50.0,5.0
