,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-08-08 00:16,,,,,
2026-08-08 01:10,,,,,
2026-08-08 01:55,,,,,
2026-08-08 02:44,,,,,
2026-08-08 03:35,,,,,
2026-08-08 07:19,,,,,
2026-08-08 07:47,5.0,45.0,5.0,,
2026-08-08 08:15,5.0,70.0,10.0,25.0,
2026-08-08 09:12,30.0,65.0,30.0,55.0,10.0
2026-08-08 09:55,30.0,85.0,55.0,45.0,20.0
2026-08-08 10:21,40.0,75.0,45.0,70.0,25.0
2026-08-08 10:53,45.0,120.0,45.0,60.0,55.0
2026-08-08 11:14,25.0,120.0,65.0,60.0,55.0
2026-08-08 11:46,45.0,105.0,45.0,55.0,40.0
2026-08-08 12:04,70.0,125.0,55.0,55.0,45.0
2026-08-08 12:45,55.0,115.0,40.0,45.0,60.0
2026-08-08 13:13,50.0,55.0,50.0,45.0,85.0
2026-08-08 13:45,45.0,75.0,40.0,30.0,75.0
2026-08-08 14:04,45.0,75.0,40.0,20.0,70.0
2026-08-08 14:51,50.0,75.0,55.0,15.0,40.0
2026-08-08 15:18,55.0,70.0,60.0,10.0,55.0
2026-08-08 15:46,15.0,70.0,45.0,10.0,45.0
2026-08-08 16:03,45.0,55.0,45.0,10.0,40.0
2026-08-08 16:40,20.0,50.0,40.0,10.0,40.0
2026-08-08 17:03,,55.0,45.0,10.0,30.0
2026-08-08 17:38,,55.0,45.0,10.0,35.0
2026-08-08 17:59,,55.0,55.0,10.0,45.0
2026-08-08 18:29,25.0,60.0,40.0,10.0,35.0
2026-08-08 18:58,15.0,45.0,35.0,10.0,10.0
