,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-09-22 04:27,,,,,,,,,,
2026-09-22 11:14,85.0,75.0,75.0,70.0,30.0,30.0,30.0,,5.0,50.0
2026-09-22 14:54,90.0,,50.0,25.0,25.0,15.0,20.0,80.0,10.0,5.0
2026-09-22 17:42,85.0,75.0,55.0,25.0,15.0,5.0,15.0,60.0,5.0,10.0
2026-09-22 19:48,,80.0,50.0,10.0,10.0,5.0,30.0,55.0,5.0,5.0
2026-09-22 21:50,,,,,,,,,,
2026-09-22 23:05,,,,,,,,,,
