,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-04-14 01:06,,,,,,,,
2026-04-14 02:58,,,,,,,,
2026-04-14 07:51,,,,,,,,
2026-04-14 08:51,35.0,,13.0,10.0,50.0,20.0,5.0,5.0
2026-04-14 10:29,40.0,,30.0,45.0,65.0,50.0,25.0,5.0
2026-04-14 11:49,50.0,,35.0,30.0,55.0,40.0,35.0,10.0
2026-04-14 12:49,50.0,,70.0,30.0,75.0,45.0,35.0,5.0
2026-04-14 13:54,40.0,,25.0,25.0,50.0,35.0,35.0,5.0
2026-04-14 14:54,45.0,,40.0,25.0,55.0,40.0,35.0,5.0
2026-04-14 15:57,30.0,,15.0,25.0,60.0,30.0,25.0,5.0
2026-04-14 16:50,40.0,,25.0,15.0,50.0,25.0,20.0,5.0
2026-04-14 17:38,25.0,,25.0,10.0,50.0,30.0,25.0,5.0
