,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-04-05 00:44,,,,,,,,,,
2026-04-05 02:05,,,,,,,,,,
2026-04-05 03:21,,,,,,,,,,
2026-04-05 07:21,,,,,,,,,,
2026-04-05 07:47,,,,,,,,,,
2026-04-05 08:01,,,,,,,,,,
2026-04-05 09:15,95.0,120.0,65.0,30.0,5.0,5.0,15.0,65.0,5.0,5.0
2026-04-05 10:00,,125.0,40.0,45.0,5.0,40.0,20.0,75.0,5.0,10.0
2026-04-05 10:38,110.0,95.0,60.0,55.0,10.0,25.0,35.0,,5.0,30.0
