,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster Starring Aerosmith,The Twilight Zone Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-04-05 00:44,,,,,,,,
2026-04-05 02:05,,,,,,,,
2026-04-05 03:21,,,,,,,,
2026-04-05 07:21,,,,,,,,
2026-04-05 07:47,,,,,,,,
2026-04-05 08:01,,,,,,,,
2026-04-05 09:15,150.0,,,35.0,65.0,35.0,35.0,5.0
2026-04-05 10:00,,,,90.0,75.0,45.0,40.0,20.0
2026-04-05 10:38,45.0,,,40.0,80.0,55.0,45.0,30.0
2026-04-05 11:05,70.0,,,45.0,70.0,45.0,45.0,25.0
2026-04-05 11:43,90.0,,,50.0,75.0,45.0,45.0,20.0
2026-04-05 12:03,60.0,,,60.0,80.0,45.0,45.0,20.0
2026-04-05 12:49,80.0,,,75.0,75.0,45.0,55.0,15.0
2026-04-05 13:17,70.0,,,60.0,60.0,45.0,45.0,10.0
2026-04-05 13:51,65.0,,,80.0,80.0,40.0,45.0,5.0
2026-04-05 14:23,60.0,,,40.0,80.0,50.0,60.0,10.0
2026-04-05 15:07,60.0,,,55.0,65.0,45.0,35.0,5.0
2026-04-05 15:45,65.0,,,40.0,80.0,40.0,45.0,5.0
2026-04-05 16:01,65.0,,,40.0,95.0,40.0,45.0,5.0
