,Expedition Everest - Legend of the Forbidden Mountain,Avatar Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-04-05 00:44,,,,,
2026-04-05 02:05,,,,,
2026-04-05 03:21,,,,,
2026-04-05 07:21,,,,,
2026-04-05 07:47,5.0,75.0,20.0,,
2026-04-05 08:01,5.0,90.0,20.0,15.0,
2026-04-05 09:15,35.0,90.0,60.0,40.0,
2026-04-05 10:00,60.0,105.0,55.0,55.0,
2026-04-05 10:38,45.0,110.0,55.0,55.0,55.0
2026-04-05 11:05,45.0,95.0,65.0,55.0,55.0
2026-04-05 11:43,55.0,85.0,60.0,40.0,65.0
2026-04-05 12:03,55.0,95.0,75.0,50.0,60.0
2026-04-05 12:49,50.0,85.0,70.0,75.0,60.0
2026-04-05 13:17,45.0,85.0,60.0,55.0,55.0
