,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-08-20 00:44,,,,,
2026-08-20 01:15,,,,,
2026-08-20 01:48,,,,,
2026-08-20 02:18,,,,,
2026-08-20 03:11,,,,,
2026-08-20 07:16,,,,,
2026-08-20 07:44,5.0,55.0,10.0,,
2026-08-20 08:01,5.0,55.0,10.0,15.0,
2026-08-20 09:02,10.0,50.0,25.0,35.0,5.0
2026-08-20 09:51,20.0,55.0,30.0,40.0,5.0
2026-08-20 10:21,25.0,45.0,40.0,55.0,5.0
2026-08-20 10:59,30.0,55.0,45.0,50.0,20.0
2026-08-20 11:32,40.0,45.0,50.0,45.0,35.0
2026-08-20 12:00,40.0,45.0,45.0,40.0,40.0
2026-08-20 12:39,40.0,60.0,45.0,25.0,30.0
2026-08-20 13:03,35.0,45.0,60.0,25.0,35.0
2026-08-20 13:38,25.0,45.0,45.0,10.0,65.0
2026-08-20 13:59,40.0,45.0,50.0,10.0,65.0
2026-08-20 14:39,20.0,60.0,40.0,5.0,55.0
