,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-08-20 00:44,,,,,,,,,,
2026-08-20 01:15,,,,,,,,,,
2026-08-20 01:48,,,,,,,,,,
2026-08-20 02:18,,,,,,,,,,
2026-08-20 03:11,,,,,,,,,,
2026-08-20 07:16,,,,,,,,,,
2026-08-20 07:44,,,,,,,,,,
2026-08-20 08:01,,,,,,,,,,
2026-08-20 09:02,60.0,85.0,35.0,5.0,5.0,5.0,15.0,30.0,,5.0
2026-08-20 09:51,45.0,75.0,40.0,10.0,5.0,10.0,25.0,45.0,5.0,5.0
2026-08-20 10:21,85.0,55.0,40.0,15.0,20.0,25.0,25.0,45.0,5.0,5.0
2026-08-20 10:59,80.0,75.0,40.0,30.0,20.0,20.0,25.0,40.0,5.0,20.0
2026-08-20 11:32,80.0,60.0,40.0,30.0,30.0,25.0,25.0,45.0,5.0,25.0
2026-08-20 12:00,65.0,65.0,45.0,25.0,15.0,30.0,25.0,65.0,5.0,20.0
2026-08-20 12:39,60.0,75.0,50.0,40.0,25.0,20.0,25.0,55.0,15.0,30.0
