,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-08-20 00:44,,,,,,,,
2026-08-20 01:15,,,,,,,,
2026-08-20 01:48,,,,,,,,
2026-08-20 02:18,,,,,,,,
2026-08-20 03:11,,,,,,,,
2026-08-20 07:16,,,,,,,,
2026-08-20 07:44,,,,,,,,
2026-08-20 08:01,,,,,,,,
2026-08-20 09:02,30.0,,13.0,15.0,60.0,20.0,10.0,5.0
2026-08-20 09:51,55.0,,35.0,20.0,50.0,40.0,60.0,5.0
2026-08-20 10:21,40.0,,35.0,45.0,,55.0,75.0,10.0
2026-08-20 10:59,45.0,,35.0,40.0,,50.0,60.0,5.0
2026-08-20 11:32,45.0,,35.0,30.0,,55.0,60.0,20.0
2026-08-20 12:00,60.0,,60.0,40.0,,45.0,35.0,10.0
2026-08-20 12:39,50.0,,30.0,40.0,90.0,50.0,55.0,15.0
2026-08-20 13:03,50.0,,50.0,40.0,90.0,50.0,60.0,10.0
2026-08-20 13:38,50.0,,35.0,35.0,60.0,45.0,55.0,5.0
2026-08-20 13:59,50.0,,35.0,35.0,60.0,50.0,45.0,5.0
2026-08-20 14:39,50.0,,35.0,65.0,80.0,35.0,45.0,5.0
2026-08-20 15:17,30.0,,30.0,40.0,75.0,45.0,45.0,5.0
2026-08-20 15:47,65.0,,25.0,20.0,,55.0,45.0,5.0
2026-08-20 16:06,55.0,,30.0,40.0,,40.0,45.0,5.0
2026-08-20 16:39,40.0,,60.0,35.0,65.0,45.0,45.0,5.0
2026-08-20 17:01,40.0,,30.0,30.0,40.0,45.0,40.0,5.0
2026-08-20 17:32,40.0,,15.0,25.0,45.0,35.0,35.0,5.0
2026-08-20 17:55,40.0,,35.0,20.0,45.0,30.0,40.0,5.0
2026-08-20 18:15,30.0,,35.0,15.0,55.0,35.0,40.0,5.0
2026-08-20 18:45,50.0,,35.0,15.0,70.0,30.0,50.0,5.0
2026-08-20 19:03,40.0,,35.0,15.0,60.0,40.0,40.0,5.0
2026-08-20 19:33,30.0,,35.0,30.0,55.0,45.0,40.0,5.0
2026-08-20 19:52,30.0,,35.0,35.0,50.0,45.0,35.0,5.0
2026-08-20 20:26,40.0,,15.0,20.0,50.0,30.0,60.0,5.0
