,Expedition Everest - Legend of the Forbidden Mountain,Avatar Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-04-11 00:25,,,,,
2026-04-11 01:44,,,,,
2026-04-11 02:42,,,,,
2026-04-11 03:38,,,,,
2026-04-11 07:21,,,,,
2026-04-11 07:49,5.0,45.0,10.0,,
2026-04-11 08:24,10.0,95.0,25.0,20.0,
2026-04-11 09:33,40.0,70.0,50.0,50.0,
2026-04-11 10:08,40.0,95.0,60.0,65.0,20.0
2026-04-11 10:52,40.0,75.0,60.0,80.0,35.0
2026-04-11 11:20,45.0,,60.0,80.0,40.0
2026-04-11 11:50,50.0,140.0,65.0,75.0,55.0
2026-04-11 12:18,60.0,,85.0,80.0,45.0
2026-04-11 12:57,60.0,75.0,60.0,80.0,70.0
2026-04-11 13:27,60.0,80.0,55.0,60.0,70.0
2026-04-11 13:55,40.0,65.0,75.0,65.0,65.0
2026-04-11 14:30,45.0,85.0,70.0,50.0,45.0
2026-04-11 15:11,40.0,70.0,60.0,35.0,85.0
2026-04-11 15:48,30.0,70.0,65.0,45.0,55.0
2026-04-11 16:02,30.0,75.0,55.0,25.0,50.0
2026-04-11 16:46,30.0,70.0,60.0,25.0,65.0
