,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-04-11 00:25,,,,,,,,,,,,,,,,,,,,
2026-04-11 01:44,,,,,,,,,,,,,,,,,,,,
2026-04-11 02:42,,,,,,,,,,,,,,,,,,,,
2026-04-11 03:38,,,,,,,,,,,,,,,,,,,,
2026-04-11 07:21,,,,,,,,,,,,,,,,,,,,
2026-04-11 07:49,,25.0,,,35.0,,10.0,5.0,5.0,,,,10.0,,30.0,,5.0,,,
2026-04-11 08:24,35.0,45.0,10.0,5.0,35.0,,5.0,5.0,5.0,13.0,,5.0,5.0,15.0,20.0,5.0,5.0,,,
2026-04-11 09:33,60.0,50.0,35.0,5.0,35.0,,30.0,5.0,5.0,13.0,,5.0,10.0,15.0,40.0,5.0,15.0,5.0,10.0,
2026-04-11 10:08,60.0,50.0,45.0,15.0,45.0,,30.0,20.0,15.0,25.0,,15.0,10.0,15.0,35.0,5.0,15.0,5.0,10.0,
2026-04-11 10:52,80.0,50.0,50.0,25.0,45.0,,35.0,30.0,20.0,25.0,,20.0,15.0,10.0,30.0,15.0,20.0,10.0,10.0,
2026-04-11 11:20,80.0,55.0,40.0,35.0,55.0,,55.0,30.0,20.0,25.0,,30.0,20.0,15.0,35.0,30.0,20.0,30.0,10.0,
2026-04-11 11:50,90.0,65.0,45.0,45.0,40.0,,50.0,15.0,40.0,25.0,,25.0,20.0,15.0,35.0,35.0,15.0,25.0,10.0,
2026-04-11 12:18,85.0,70.0,55.0,50.0,50.0,,40.0,30.0,25.0,35.0,,25.0,20.0,15.0,35.0,40.0,15.0,25.0,10.0,
2026-04-11 12:57,70.0,60.0,45.0,45.0,45.0,,45.0,30.0,25.0,35.0,,15.0,25.0,15.0,55.0,20.0,20.0,35.0,10.0,
2026-04-11 13:27,85.0,65.0,50.0,65.0,55.0,,45.0,15.0,20.0,30.0,,15.0,25.0,10.0,35.0,25.0,25.0,35.0,10.0,
2026-04-11 13:55,85.0,65.0,45.0,60.0,50.0,,45.0,30.0,20.0,40.0,,30.0,25.0,10.0,40.0,30.0,25.0,30.0,10.0,
2026-04-11 14:30,60.0,65.0,55.0,45.0,45.0,,35.0,35.0,15.0,40.0,,30.0,25.0,10.0,35.0,25.0,20.0,35.0,10.0,
2026-04-11 15:11,85.0,60.0,45.0,45.0,45.0,,45.0,15.0,20.0,25.0,,10.0,15.0,10.0,35.0,20.0,10.0,25.0,10.0,
2026-04-11 15:48,85.0,70.0,50.0,65.0,45.0,,25.0,15.0,5.0,40.0,,10.0,10.0,15.0,50.0,40.0,15.0,25.0,10.0,
2026-04-11 16:02,80.0,60.0,45.0,70.0,50.0,,55.0,25.0,25.0,40.0,,25.0,15.0,15.0,40.0,25.0,20.0,30.0,10.0,
