,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster Starring Aerosmith,The Twilight Zone Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-04-11 00:25,,,,,,,,
2026-04-11 01:44,,,,,,,,
2026-04-11 02:42,,,,,,,,
2026-04-11 03:38,,,,,,,,
2026-04-11 07:21,,,,,,,,
2026-04-11 07:49,,,,,,,,
2026-04-11 08:24,20.0,,,25.0,45.0,15.0,35.0,5.0
2026-04-11 09:33,,,,35.0,70.0,40.0,40.0,5.0
2026-04-11 10:08,,,,70.0,95.0,65.0,65.0,25.0
2026-04-11 10:52,65.0,,,55.0,105.0,60.0,65.0,15.0
2026-04-11 11:20,95.0,,,45.0,90.0,60.0,50.0,10.0
2026-04-11 11:50,85.0,,,45.0,90.0,60.0,45.0,15.0
2026-04-11 12:18,90.0,,,50.0,90.0,60.0,50.0,10.0
2026-04-11 12:57,80.0,,,50.0,90.0,60.0,60.0,15.0
2026-04-11 13:27,80.0,,,45.0,80.0,60.0,60.0,5.0
2026-04-11 13:55,80.0,,,50.0,80.0,60.0,40.0,10.0
2026-04-11 14:30,85.0,,,85.0,65.0,50.0,60.0,5.0
2026-04-11 15:11,60.0,,,90.0,100.0,60.0,55.0,5.0
2026-04-11 15:48,75.0,,,80.0,80.0,75.0,45.0,5.0
2026-04-11 16:02,75.0,,,45.0,80.0,50.0,55.0,5.0
2026-04-11 16:46,75.0,,,50.0,80.0,50.0,55.0,5.0
2026-04-11 17:16,70.0,,,35.0,80.0,50.0,65.0,5.0
2026-04-11 17:49,55.0,,,50.0,75.0,50.0,40.0,10.0
2026-04-11 18:14,65.0,,,40.0,80.0,50.0,55.0,5.0
2026-04-11 18:52,60.0,,,25.0,65.0,45.0,45.0,5.0
2026-04-11 19:19,60.0,,,50.0,80.0,50.0,50.0,5.0
2026-04-11 19:52,50.0,,,30.0,60.0,50.0,40.0,5.0
2026-04-11 21:09,40.0,,,20.0,55.0,25.0,15.0,5.0
2026-04-11 22:11,,,,,,,,
