,Expedition Everest - Legend of the Forbidden Mountain,Avatar Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-03-26 00:39,,,,,
2026-03-26 02:02,,,,,
2026-03-26 03:23,,,,,
2026-03-26 07:41,5.0,35.0,10.0,,
2026-03-26 08:40,5.0,55.0,20.0,25.0,
2026-03-26 10:09,30.0,115.0,45.0,40.0,10.0
2026-03-26 11:37,40.0,65.0,50.0,55.0,45.0
2026-03-26 12:43,40.0,50.0,45.0,45.0,55.0
2026-03-26 13:42,40.0,50.0,50.0,35.0,55.0
2026-03-26 14:39,30.0,55.0,50.0,35.0,40.0
2026-03-26 15:40,30.0,55.0,45.0,20.0,25.0
2026-03-26 16:04,30.0,50.0,45.0,20.0,25.0
2026-03-26 16:47,20.0,40.0,45.0,10.0,40.0
2026-03-26 17:17,35.0,55.0,45.0,10.0,35.0
2026-03-26 17:47,20.0,40.0,45.0,10.0,15.0
