,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster Starring Aerosmith,The Twilight Zone Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-03-26 00:39,,,,,,,,
2026-03-26 02:02,,,,,,,,
2026-03-26 03:23,,,,,,,,
2026-03-26 07:41,,,,,,,,
2026-03-26 08:40,,,13.0,25.0,80.0,35.0,15.0,5.0
2026-03-26 10:09,,,60.0,75.0,80.0,50.0,45.0,25.0
2026-03-26 11:37,,,45.0,55.0,95.0,65.0,45.0,20.0
2026-03-26 12:43,,,30.0,75.0,75.0,45.0,40.0,25.0
2026-03-26 13:42,,,35.0,85.0,90.0,50.0,40.0,5.0
2026-03-26 14:39,130.0,,35.0,45.0,80.0,45.0,35.0,5.0
2026-03-26 15:40,110.0,,35.0,75.0,55.0,30.0,45.0,5.0
2026-03-26 16:04,95.0,,30.0,90.0,80.0,35.0,40.0,5.0
2026-03-26 16:47,65.0,,40.0,70.0,70.0,40.0,45.0,5.0
2026-03-26 17:17,115.0,,35.0,40.0,50.0,45.0,35.0,5.0
2026-03-26 17:47,,,40.0,40.0,80.0,50.0,40.0,5.0
2026-03-26 18:01,,,45.0,35.0,80.0,50.0,40.0,5.0
2026-03-26 18:37,70.0,,35.0,65.0,70.0,40.0,45.0,5.0
2026-03-26 18:59,75.0,,45.0,55.0,50.0,35.0,50.0,5.0
2026-03-26 19:34,95.0,,30.0,40.0,90.0,35.0,40.0,5.0
2026-03-26 19:59,60.0,,30.0,55.0,80.0,45.0,25.0,5.0
2026-03-26 22:02,,,,,,,,
