,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster Starring Aerosmith,The Twilight Zone Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-03-27 00:40,,,,,,,,
2026-03-27 02:02,,,,,,,,
2026-03-27 03:22,,,,,,,,
2026-03-27 07:34,,,,,,,,
2026-03-27 08:07,,,,,,,,
2026-03-27 09:39,,,40.0,85.0,70.0,45.0,40.0,5.0
2026-03-27 10:34,,,50.0,95.0,80.0,60.0,50.0,20.0
2026-03-27 11:28,,,50.0,65.0,90.0,60.0,55.0,30.0
2026-03-27 12:12,,,50.0,65.0,80.0,60.0,50.0,15.0
2026-03-27 13:10,110.0,,45.0,95.0,70.0,,65.0,10.0
2026-03-27 14:01,95.0,,40.0,45.0,75.0,40.0,40.0,10.0
2026-03-27 15:06,95.0,,45.0,65.0,80.0,50.0,60.0,5.0
2026-03-27 15:47,70.0,,40.0,75.0,65.0,40.0,35.0,5.0
2026-03-27 16:19,70.0,,35.0,60.0,60.0,50.0,55.0,5.0
2026-03-27 16:58,60.0,,70.0,45.0,65.0,50.0,35.0,5.0
2026-03-27 17:33,65.0,,90.0,65.0,80.0,50.0,40.0,10.0
2026-03-27 17:59,75.0,,80.0,65.0,70.0,50.0,55.0,5.0
2026-03-27 18:35,75.0,,50.0,65.0,80.0,45.0,45.0,5.0
2026-03-27 19:03,70.0,,85.0,30.0,65.0,55.0,55.0,5.0
