,Expedition Everest - Legend of the Forbidden Mountain,Avatar Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-03-27 00:40,,,,,
2026-03-27 02:02,,,,,
2026-03-27 03:22,,,,,
2026-03-27 07:34,,,10.0,,
2026-03-27 08:07,5.0,75.0,10.0,,
2026-03-27 09:39,30.0,85.0,45.0,65.0,
2026-03-27 10:34,30.0,75.0,50.0,50.0,40.0
2026-03-27 11:28,55.0,75.0,60.0,60.0,60.0
2026-03-27 12:12,45.0,60.0,65.0,45.0,70.0
2026-03-27 13:10,35.0,70.0,50.0,45.0,100.0
2026-03-27 14:01,40.0,60.0,55.0,25.0,
2026-03-27 15:06,35.0,55.0,50.0,15.0,
