,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-05-23 01:55,,,,,,,,,,,,,,,,,,,,
2026-05-23 04:12,,,,,,,,,,,,,,,,,,,,
2026-05-23 07:53,,,,,,,,,,,,,,,,,,,,
2026-05-23 08:50,,40.0,,,40.0,,35.0,,5.0,,5.0,,10.0,,35.0,,5.0,,,
2026-05-23 10:20,55.0,40.0,35.0,30.0,35.0,,35.0,5.0,10.0,10.0,5.0,20.0,5.0,15.0,30.0,10.0,10.0,5.0,10.0,
2026-05-23 11:34,55.0,45.0,35.0,50.0,40.0,,45.0,15.0,15.0,30.0,5.0,15.0,15.0,10.0,35.0,15.0,20.0,20.0,10.0,
2026-05-23 12:32,50.0,45.0,50.0,40.0,40.0,,40.0,10.0,5.0,20.0,25.0,15.0,10.0,10.0,30.0,25.0,5.0,20.0,10.0,
2026-05-23 13:41,50.0,,45.0,40.0,45.0,,30.0,15.0,10.0,30.0,15.0,5.0,10.0,10.0,25.0,20.0,10.0,15.0,10.0,
2026-05-23 14:38,60.0,50.0,35.0,40.0,40.0,,45.0,25.0,5.0,20.0,25.0,10.0,10.0,10.0,30.0,25.0,5.0,,10.0,
2026-05-23 15:46,55.0,45.0,40.0,60.0,40.0,,40.0,10.0,5.0,35.0,10.0,5.0,0.0,10.0,30.0,10.0,15.0,5.0,10.0,
