,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-05-23 01:55,,,,,,,,
2026-05-23 04:12,,,,,,,,
2026-05-23 07:53,,,,,,,,
2026-05-23 08:50,25.0,,13.0,20.0,45.0,25.0,10.0,5.0
2026-05-23 10:20,50.0,,50.0,75.0,50.0,45.0,30.0,5.0
2026-05-23 11:34,55.0,,65.0,40.0,70.0,50.0,40.0,15.0
2026-05-23 12:32,65.0,,40.0,40.0,65.0,50.0,40.0,5.0
2026-05-23 13:41,40.0,,40.0,40.0,50.0,25.0,35.0,5.0
2026-05-23 14:38,60.0,,45.0,35.0,55.0,35.0,40.0,5.0
2026-05-23 15:46,45.0,,40.0,25.0,50.0,35.0,60.0,5.0
2026-05-23 16:32,65.0,,30.0,45.0,50.0,35.0,40.0,5.0
2026-05-23 17:28,35.0,,30.0,25.0,65.0,30.0,30.0,5.0
2026-05-23 18:25,45.0,,30.0,30.0,50.0,,40.0,5.0
2026-05-23 19:15,40.0,,25.0,30.0,60.0,30.0,35.0,5.0
2026-05-23 20:12,30.0,,55.0,30.0,40.0,35.0,25.0,5.0
2026-05-23 22:53,,,,,,,,
