,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-05-23 01:55,,,,,
2026-05-23 04:12,,,,,
2026-05-23 07:53,5.0,55.0,10.0,,
2026-05-23 08:50,5.0,55.0,25.0,25.0,
2026-05-23 10:20,45.0,55.0,45.0,45.0,30.0
2026-05-23 11:34,35.0,55.0,70.0,35.0,30.0
2026-05-23 12:32,35.0,55.0,40.0,35.0,65.0
2026-05-23 13:41,35.0,45.0,50.0,10.0,25.0
2026-05-23 14:38,40.0,35.0,40.0,5.0,50.0
2026-05-23 15:46,25.0,35.0,40.0,5.0,40.0
2026-05-23 16:32,15.0,25.0,30.0,10.0,35.0
2026-05-23 17:28,10.0,40.0,35.0,5.0,20.0
2026-05-23 18:25,,,,,
2026-05-23 19:15,,,,,
2026-05-23 20:12,,,,,
2026-05-23 22:53,,,,,
