,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-08-15 00:16,,,,,
2026-08-15 00:49,,,,,
2026-08-15 01:12,,,,,
2026-08-15 01:41,,,,,
2026-08-15 02:00,,,,,
2026-08-15 02:50,,,,,
2026-08-15 03:18,,,,,
2026-08-15 07:09,,,,,
2026-08-15 07:31,5.0,35.0,5.0,,
2026-08-15 07:47,5.0,50.0,5.0,,
2026-08-15 07:58,5.0,65.0,5.0,,
2026-08-15 08:33,5.0,75.0,35.0,25.0,
2026-08-15 09:09,20.0,45.0,30.0,45.0,10.0
2026-08-15 09:39,25.0,75.0,40.0,45.0,10.0
2026-08-15 09:56,35.0,65.0,45.0,45.0,15.0
2026-08-15 10:14,40.0,65.0,45.0,75.0,10.0
2026-08-15 10:38,60.0,70.0,45.0,55.0,40.0
2026-08-15 10:55,45.0,65.0,40.0,75.0,40.0
2026-08-15 11:10,45.0,65.0,40.0,65.0,30.0
2026-08-15 11:33,45.0,65.0,45.0,45.0,55.0
2026-08-15 11:49,50.0,75.0,50.0,45.0,55.0
2026-08-15 11:59,45.0,65.0,55.0,50.0,55.0
2026-08-15 12:26,45.0,55.0,50.0,50.0,50.0
2026-08-15 12:47,60.0,60.0,40.0,40.0,70.0
2026-08-15 13:01,60.0,70.0,40.0,45.0,55.0
2026-08-15 13:26,60.0,45.0,25.0,40.0,45.0
2026-08-15 13:42,40.0,55.0,40.0,25.0,55.0
2026-08-15 13:56,35.0,60.0,65.0,20.0,50.0
2026-08-15 14:17,35.0,60.0,50.0,20.0,55.0
2026-08-15 14:48,35.0,55.0,35.0,25.0,55.0
2026-08-15 15:07,35.0,55.0,40.0,20.0,75.0
2026-08-15 15:29,35.0,45.0,45.0,20.0,65.0
2026-08-15 15:45,15.0,45.0,40.0,10.0,65.0
2026-08-15 15:56,15.0,55.0,45.0,10.0,60.0
