,Expedition Everest - Legend of the Forbidden Mountain,Avatar Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-04-07 00:41,,,,,
2026-04-07 02:08,,,,,
2026-04-07 03:48,,,,,
2026-04-07 07:45,5.0,30.0,10.0,,
2026-04-07 08:44,15.0,115.0,35.0,10.0,
2026-04-07 10:15,35.0,75.0,50.0,35.0,15.0
2026-04-07 11:45,45.0,105.0,65.0,35.0,15.0
2026-04-07 12:39,25.0,70.0,55.0,25.0,20.0
2026-04-07 13:37,40.0,70.0,45.0,30.0,10.0
2026-04-07 14:37,50.0,55.0,55.0,20.0,35.0
2026-04-07 15:39,45.0,65.0,50.0,10.0,15.0
2026-04-07 16:22,50.0,60.0,55.0,10.0,25.0
2026-04-07 17:06,40.0,60.0,60.0,5.0,15.0
2026-04-07 17:54,30.0,60.0,45.0,5.0,10.0
2026-04-07 18:26,,60.0,45.0,5.0,
2026-04-07 19:04,,,,,
