,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-04-22 01:07,,,,,,,,,,
2026-04-22 03:03,,,,,,,,,,
2026-04-22 07:51,,,,,,,,,,
2026-04-22 08:51,45.0,50.0,50.0,10.0,,5.0,15.0,20.0,,5.0
2026-04-22 10:25,,65.0,40.0,20.0,25.0,25.0,15.0,45.0,5.0,20.0
2026-04-22 11:47,85.0,55.0,50.0,50.0,25.0,20.0,25.0,55.0,5.0,35.0
2026-04-22 12:44,80.0,75.0,50.0,35.0,,15.0,15.0,50.0,5.0,15.0
2026-04-22 13:42,80.0,60.0,45.0,30.0,10.0,15.0,15.0,50.0,5.0,10.0
2026-04-22 14:45,,55.0,60.0,35.0,15.0,5.0,15.0,55.0,5.0,10.0
2026-04-22 15:51,120.0,75.0,55.0,45.0,5.0,10.0,15.0,,10.0,15.0
2026-04-22 16:39,65.0,65.0,80.0,25.0,15.0,,15.0,45.0,15.0,5.0
