,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-04-22 01:07,,,,,,,,
2026-04-22 03:03,,,,,,,,
2026-04-22 07:51,,,,,,,,
2026-04-22 08:51,45.0,,15.0,15.0,50.0,20.0,15.0,5.0
2026-04-22 10:25,40.0,,80.0,45.0,65.0,45.0,45.0,5.0
2026-04-22 11:47,65.0,,80.0,45.0,75.0,40.0,55.0,5.0
2026-04-22 12:44,45.0,,50.0,25.0,65.0,40.0,30.0,5.0
2026-04-22 13:42,40.0,,50.0,45.0,65.0,40.0,35.0,5.0
2026-04-22 14:45,50.0,,55.0,40.0,55.0,30.0,35.0,5.0
2026-04-22 15:51,35.0,,30.0,20.0,65.0,35.0,45.0,5.0
2026-04-22 16:39,65.0,,30.0,25.0,55.0,40.0,30.0,5.0
2026-04-22 17:33,30.0,,45.0,15.0,60.0,35.0,40.0,5.0
