,Test Track,Guardians of the Galaxy: Cosmic Rewind,Remy's Ratatouille Adventure,Soarin',Living with the Land,Spaceship Earth,Mission: SPACE,Frozen Ever After,Gran Fiesta Tour Starring The Three Caballeros,The Seas with Nemo & Friends
2026-07-28 01:23,,,,,,,,,,
2026-07-28 03:57,,,,,,,,,,
2026-07-28 08:29,,,,,,,,,,
2026-07-28 10:59,85.0,65.0,,40.0,15.0,,15.0,65.0,5.0,15.0
2026-07-28 12:39,75.0,65.0,65.0,25.0,20.0,20.0,15.0,,5.0,35.0
2026-07-28 14:01,70.0,65.0,,20.0,5.0,15.0,15.0,75.0,5.0,40.0
2026-07-28 15:41,,95.0,60.0,25.0,15.0,10.0,25.0,70.0,10.0,5.0
2026-07-28 16:47,70.0,70.0,60.0,30.0,15.0,10.0,25.0,,5.0,10.0
2026-07-28 17:47,60.0,85.0,75.0,30.0,5.0,5.0,25.0,60.0,5.0,5.0
2026-07-28 18:43,55.0,70.0,,30.0,5.0,10.0,15.0,,5.0,5.0
2026-07-28 19:40,80.0,75.0,75.0,15.0,5.0,5.0,15.0,,10.0,5.0
2026-07-28 21:05,,,,,,,,,,
2026-07-28 22:11,,,,,,,,,,
