,Expedition Everest,Flight of Passage,Na'vi River Journey,Kilimanjaro Safaris,Kali River Rapids
2026-08-07 00:36,,,,,
2026-08-07 01:58,,,,,
2026-08-07 03:24,,,,,
2026-08-07 07:37,,45.0,10.0,,
2026-08-07 08:25,5.0,85.0,20.0,25.0,
2026-08-07 09:45,25.0,80.0,40.0,55.0,20.0
2026-08-07 10:40,55.0,65.0,55.0,90.0,25.0
2026-08-07 11:33,65.0,65.0,40.0,90.0,45.0
2026-08-07 12:26,80.0,65.0,55.0,50.0,65.0
2026-08-07 13:13,,75.0,45.0,35.0,70.0
2026-08-07 14:01,,85.0,55.0,25.0,
2026-08-07 15:03,55.0,60.0,45.0,10.0,
2026-08-07 15:54,45.0,55.0,35.0,15.0,35.0
2026-08-07 16:25,45.0,55.0,45.0,15.0,35.0
2026-08-07 17:06,35.0,55.0,40.0,10.0,30.0
2026-08-07 17:51,35.0,40.0,40.0,5.0,90.0
2026-08-07 18:20,35.0,55.0,45.0,10.0,20.0
2026-08-07 18:58,10.0,70.0,20.0,5.0,15.0
2026-08-07 19:30,,,,,
2026-08-07 19:59,,,,,
2026-08-07 21:16,,,,,
2026-08-07 23:00,,,,,
