,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-08-07 00:36,,,,,,,,
2026-08-07 01:58,,,,,,,,
2026-08-07 03:24,,,,,,,,
2026-08-07 07:37,,,,,,,,
2026-08-07 08:25,,,,,,,,
2026-08-07 09:45,,,90.0,30.0,,45.0,65.0,10.0
2026-08-07 10:40,,,50.0,75.0,,60.0,,25.0
2026-08-07 11:33,,,55.0,55.0,,65.0,70.0,30.0
2026-08-07 12:26,195.0,,60.0,65.0,,60.0,70.0,30.0
2026-08-07 13:13,170.0,,45.0,50.0,,50.0,60.0,5.0
2026-08-07 14:01,145.0,,40.0,55.0,,45.0,65.0,5.0
2026-08-07 15:03,145.0,,45.0,40.0,,45.0,50.0,5.0
2026-08-07 15:54,155.0,,40.0,55.0,140.0,45.0,40.0,5.0
2026-08-07 16:25,115.0,,45.0,35.0,130.0,55.0,60.0,5.0
2026-08-07 17:06,130.0,,40.0,30.0,115.0,40.0,50.0,5.0
