,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster,Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-05-14 02:12,,,,,,,,
2026-05-14 04:50,,,,,,,,
2026-05-14 08:21,,,,,,,,
2026-05-14 10:47,40.0,,45.0,40.0,70.0,50.0,35.0,5.0
2026-05-14 12:34,,,65.0,45.0,70.0,45.0,45.0,5.0
2026-05-14 14:18,40.0,,30.0,30.0,65.0,50.0,45.0,5.0
2026-05-14 16:04,40.0,,15.0,15.0,55.0,35.0,30.0,5.0
2026-05-14 17:18,50.0,,35.0,10.0,45.0,30.0,35.0,5.0
2026-05-14 18:32,30.0,,25.0,15.0,55.0,40.0,50.0,5.0
2026-05-14 19:30,30.0,,35.0,10.0,60.0,40.0,40.0,5.0
