,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster Starring Aerosmith,The Twilight Zone Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-04-08 00:44,,,,,,,,
2026-04-08 02:12,,,,,,,,
2026-04-08 03:53,,,,,,,,
2026-04-08 07:45,,,,,,,,
2026-04-08 08:44,85.0,,,20.0,120.0,35.0,60.0,5.0
2026-04-08 10:17,115.0,,,105.0,130.0,70.0,70.0,30.0
2026-04-08 11:49,95.0,,,105.0,140.0,70.0,,45.0
2026-04-08 12:46,130.0,,,120.0,135.0,95.0,60.0,30.0
2026-04-08 13:47,85.0,,,130.0,95.0,70.0,75.0,35.0
2026-04-08 14:53,90.0,,,95.0,130.0,70.0,100.0,20.0
2026-04-08 15:52,90.0,,,70.0,105.0,40.0,75.0,15.0
2026-04-08 16:28,85.0,,,75.0,105.0,70.0,50.0,25.0
2026-04-08 17:09,50.0,,,90.0,95.0,,55.0,10.0
2026-04-08 17:57,75.0,,,105.0,120.0,60.0,75.0,15.0
2026-04-08 18:35,75.0,,,95.0,105.0,70.0,70.0,10.0
2026-04-08 19:21,55.0,,,60.0,95.0,70.0,40.0,5.0
2026-04-08 19:54,55.0,,,50.0,95.0,60.0,75.0,10.0
2026-04-08 21:05,35.0,,,65.0,60.0,45.0,80.0,5.0
