,TRON Lightcycle / Run,Seven Dwarfs Mine Train,Jungle Cruise,Tiana's Bayou Adventure,Peter Pan's Flight,Big Thunder Mountain Railroad,Space Mountain,The Barnstormer,Dumbo the Flying Elephant,Haunted Mansion,it's a small world,The Magic Carpets of Aladdin,Mad Tea Party,Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,Pirates of the Caribbean,Tomorrowland Speedway,Under the Sea - Journey of The Little Mermaid,Monsters Inc. Laugh Floor,Buzz Lightyear's Space Ranger Spin
2026-04-08 00:44,,,,,,,,,,,,,,,,,,,,
2026-04-08 02:12,,,,,,,,,,,,,,,,,,,,
2026-04-08 03:53,,,,,,,,,,,,,,,,,,,,
2026-04-08 07:45,,60.0,,,40.0,,20.0,5.0,5.0,,,,5.0,,40.0,,5.0,5.0,,15.0
2026-04-08 08:44,80.0,70.0,30.0,5.0,40.0,,30.0,25.0,25.0,13.0,,10.0,15.0,10.0,,5.0,20.0,5.0,,25.0
2026-04-08 10:17,115.0,75.0,55.0,25.0,50.0,,45.0,20.0,30.0,25.0,,40.0,20.0,10.0,65.0,25.0,25.0,25.0,10.0,45.0
2026-04-08 11:49,85.0,75.0,60.0,35.0,75.0,,70.0,35.0,45.0,45.0,,30.0,20.0,10.0,65.0,50.0,30.0,30.0,20.0,50.0
