,Star Wars: Rise of the Resistance,Rock 'n' Roller Coaster Starring Aerosmith,The Twilight Zone Tower of Terror,Millennium Falcon: Smugglers Run,Slinky Dog Dash,Mickey & Minnie's Runaway Railway,Toy Story Mania!,Star Tours
2026-03-16 00:46,,,25.0,25.0,,5.0,10.0,5.0
2026-03-16 02:11,,,,,,,,
2026-03-16 03:48,,,,,,,,
2026-03-16 07:39,,,,,,,,
2026-03-16 08:34,,,,35.0,20.0,25.0,5.0,5.0
2026-03-16 10:01,,,65.0,,135.0,80.0,70.0,40.0
2026-03-16 11:09,20.0,,160.0,,145.0,75.0,85.0,35.0
2026-03-16 12:16,155.0,,70.0,120.0,140.0,70.0,55.0,25.0
2026-03-16 13:18,125.0,,75.0,130.0,90.0,60.0,75.0,25.0
2026-03-16 14:11,120.0,,60.0,70.0,,60.0,105.0,20.0
2026-03-16 15:20,115.0,,75.0,120.0,,50.0,,20.0
2026-03-16 15:57,95.0,,80.0,120.0,,60.0,50.0,10.0
2026-03-16 16:34,105.0,,60.0,90.0,100.0,50.0,50.0,5.0
2026-03-16 17:08,75.0,,55.0,90.0,100.0,45.0,50.0,5.0
2026-03-16 17:52,70.0,,55.0,60.0,,45.0,45.0,5.0
2026-03-16 18:20,70.0,,30.0,60.0,75.0,40.0,40.0,5.0
2026-03-16 18:53,50.0,,60.0,50.0,70.0,35.0,40.0,5.0
2026-03-16 19:18,60.0,,45.0,50.0,90.0,45.0,45.0,5.0
2026-03-16 19:46,50.0,,55.0,55.0,95.0,50.0,40.0,5.0
2026-03-16 20:00,50.0,,40.0,50.0,60.0,50.0,30.0,5.0
2026-03-16 21:51,,,,,,,,
